  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              0,         0,           0,          0
 10,            34,              27,             18,        21,           0,         18
 20,           114,              98,             50,        62,           0,         41
 30,           255,             229,            108,       111,           0,         70
 40,           458,             423,            200,       161,           0,         97
 50,           716,             671,            312,       226,           0,        131
 60,          1018,             963,            442,       283,           0,        185
 70,          1448,            1383,            638,       342,           0,        197
 80,          1819,            1744,            799,       401,           0,        223
 90,          2185,            2100,            957,       457,           0,        257
100,          2664,            2569,           1168,       549,           0,        277
